FID_webmap,SimpleRegion,report_url
2,RoswellArtesianBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/521/ofr_521.pdf
2,RoswellArtesianBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/500-599/503/ofr_503.pdf
2,RoswellArtesianBasin,https://geoinfo.nmt.edu/publications/guides/decisionmakers/2003/DecisonMakers2003.pdf
2,RoswellArtesianBasin,https://www.researchgate.net/profile/Lewis-Land-2/publication/264852032_Evaporite_Karst_and_Regional_Ground-Water_Circulation_in_the_Lower_Pecos_Valley_of_Southeastern_New_Mexico/links/54dbb12c0cf28d3de65bf55d/Evaporite-Karst-and-Regional-Ground-Water-Circulation-in-the-Lower-Pecos-Valley-of-Southeastern-New-Mexico.pdf
2,RoswellArtesianBasin,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1752-1688.2007.00146.x
2,RoswellArtesianBasin,https://www.researchgate.net/profile/Lewis-Land-2/publication/226610480_Multi-tracer_investigation_of_groundwater_residence_time_in_a_karstic_aquifer_Bitter_Lakes_National_Wildlife_Refuge_New_Mexico_USA/links/54dbb12c0cf2a7769d924d3e/Multi-tracer-investigation-of-groundwater-residence-time-in-a-karstic-aquifer-Bitter-Lakes-National-Wildlife-Refuge-New-Mexico-USA.pdf
2,RoswellArtesianBasin,https://scholarworks.sfasu.edu/cgi/viewcontent.cgi?article=1010&context=geology
