FID_webmap,SimpleRegion,report_url
0,AlbuquerqueBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/605/OFR-605_ABQMAR_report.pdf
55,AlbuquerqueBasin,https://geoinfo.nmt.edu/geoscience/research/documents/134/RioRanchoFactSheet_web.pdf
0,AlbuquerqueBasin,https://pubs.usgs.gov/sim/3433/sim3433_pamphlet.pdf
0,AlbuquerqueBasin,https://nmgs.nmt.edu/publications/guidebooks/downloads/58/58_p0195_p0208.pdf
0,AlbuquerqueBasin,https://pubs.usgs.gov/pp/1719/pdf/P1719_508.pdf
59,AlbuquerqueBasin,https://geoinfo.nmt.edu/publications/openfile/downloads/600-699/632/OFR_632.pdf
