Report Index,Report Name,Time (seconds)
1,Hudson2023_PaleohydrologicHistoryOfPluvialLakeSanAgustinNM.pdf,222.72
2,OFR-615_SanAgustinPlainsHydrogeology.pdf,253.01
3,OFR_611.pdf,206.63
4,Pepin2022_HydrogeoGroundwaterQualitySanAgustinBasin.pdf,227.29
