Report Index,Report Name,Time (seconds)
1,Bartolino2010_GWResourcesOfTheEastMtnAreaNM.pdf,249.38
2,Land2016_Estancia_Basin_FBWQNM.pdf,127.61
3,Menking2000_EvaporationFromGWDischargePlayasEstanciaBasin.pdf,245.4
4,OFR-609.pdf,343.15
5,Rice2014_EstimatesGWRechargeRatesSourcesEastMtnArea.pdf,238.47
6,TDEMEstancia2005.pdf,168.36
