Report Index,Report Name,Time (seconds)
1,Falk2011_SelectedInvestigationsSurfaceWaterQualityRioGrandeRioChama.pdf,486.77
2,Falk2013_WaterQualityStreamFlowStreamsSanJuanChamaProject.pdf,394.8
3,Koning2011_HydrogeologyOfTheTusasMountainsRioArribaCountyNM.pdf,482.5
4,OFR_630.pdf,487.6
