Report Index,Report Name,Time (seconds)
1,Blake2018_AssessmentWaterResourcesPotentialEffectOilGas.pdf,214.38
2,Eberle2021_GroundwaterRechargeSaltBasinNM.pdf,183.32
3,Evenocheck2021_AssessmentOfSafeAquiferYieldSaltBasinNM.pdf,233.38
4,Huff2006_Hydrogeology of the Salt Basin.pdf,240.31
5,OFR-608_Salt_Basin_revised_Oct_2020.pdf,345.76
6,OFR-618_SaltBasin.pdf,297.63
7,Ritchie2011_HydrogeoFrameworkGWFlowModelSaltBasinNM.pdf,234.59
8,Sigstedt2016_GroundwaterFlowEnvironmentalTracersSaltBasinNM.pdf,215.39
