Report Index,Report Name,Time (seconds)
1,Kelley2016_LowTempGeothermalResourcesAcomaBasin.pdf,120.89
2,ofr_539.pdf,15.94
3,Wolf2016_HydrogeologyGeochemistryHoraceSpringsPuebloOfAcomaNM.pdf,18.38
